2022-05-23 14:03:49.431 [main] INFO  entidadbancaria.CrearCuentaCliente - la primera cuenta tiene un saldo de  $entidadbancaria.Cuenta@609bcfb6
2022-05-23 14:03:49.435 [main] INFO  entidadbancaria.CrearCuentaCliente - referencia en espacio de memoria de ejava para el nuevo objeto entidadbancaria.Cuenta@52815fa3
2022-05-23 14:51:06.580 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:51:06.580 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:51:06.580 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:51:06.580 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:51:06.580 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:51:06.580 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria primera cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:51:06.580 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria de la segunda cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:51:06.580 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:51:06.580 [main] INFO  entidadbancaria.TestReferencia1 - son el mismo objeto
2022-05-23 14:52:55.407 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:52:55.407 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:52:55.407 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:52:55.407 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:52:55.407 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:52:55.423 [main] INFO  entidadbancaria.TestReferencia1 - 500.0
2022-05-23 14:52:55.424 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria primera cuenta ... entidadbancaria.Cuenta@1c39680d
2022-05-23 14:52:55.424 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria de la segunda cuenta ... entidadbancaria.Cuenta@1c39680d
2022-05-23 14:52:55.424 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:52:55.424 [main] INFO  entidadbancaria.TestReferencia1 - son el mismo objeto
